LCLid,slot_0,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_20,slot_21,slot_22,slot_23,slot_24,slot_25,slot_26,slot_27,slot_28,slot_29,slot_30,slot_31,slot_32,slot_33,slot_34,slot_35,slot_36,slot_37,slot_38,slot_39,slot_40,slot_41,slot_42,slot_43,slot_44,slot_45,slot_46,slot_47,avg_consumption,median_consumption,std_consumption,min_consumption,max_consumption,base_load,peak_to_avg_ratio,weekend_usage,weekday_usage,Acorn_grouped,stdorToU,cluster
MAC000113,0.5111448188514357,0.458617499875,0.40041375,0.355757500125,0.324976249875,0.303144999875,0.29135500000000003,0.2882325,0.2883775,0.29149625,0.29930000012499997,0.294365,0.34771500000000005,0.40576875,0.516693749375,0.59040999975,0.5951664581977472,0.56993749925,0.48474125037500004,0.47531999962500004,0.46713483108614234,0.49711235917602997,0.47453558089887643,0.45673408139825217,0.47873782784019975,0.475467499875,0.4734169800249688,0.5048014985018727,0.4990312107365793,0.47679124975,0.49288125012499995,0.5844431950062422,0.5275917601747815,0.5977503127340824,0.6081285903870163,0.678164999625,0.7330973782771536,0.7871697882646692,0.796317499875,0.786910111610487,0.7629375781523097,0.7532434463171036,0.7187602997503122,0.7009975031210987,0.6627303374531835,0.6311622971285893,0.6043508119850187,0.5629750307116105,0.518513312323348,0.417,0.37811305414471247,0.078,3.3380001,0.156,6.437636258639399,0.5001965423202911,0.5258512375350854,Affluent,Std,3
MAC000133,0.3604987596774194,0.3184583857142857,0.22008819863354037,0.17701490683229812,0.15672422360248447,0.1330521737888199,0.11574037267080746,0.10717142869565217,0.09619130422360249,0.09113416124223603,0.08715900621118013,0.09134037267080745,0.10085341614906831,0.161662935199005,0.26280993826086957,0.31862732857142856,0.42488447254658385,0.48243850894409934,0.546363974658385,0.6033888188819876,0.6254732922981366,0.6148829392278954,0.5647487570895522,0.5696977606965175,0.5707549756218905,0.603708592403487,0.6574708070807453,0.6567925472049689,0.6311093166459627,0.577277017515528,0.5858000001242236,0.5422385083229814,0.5893341609937889,0.686371428447205,0.6525018629813665,0.7128658383850932,0.6910818861042184,0.6549888342431762,0.6692869570186336,0.6551826070807454,0.6676000004968944,0.6608263021091811,0.6185434254342432,0.6030558312655087,0.5608759301488834,0.5269342430521091,0.48646401972704717,0.4294801496277916,0.45669618544847573,0.266,0.5236311374006832,0.0,5.4990001,0.068,12.04082774328404,0.4950076093033789,0.4413746693837627,Adversity,Std,0
MAC000135,0.12891705069124423,0.1168660508083141,0.10820785219399538,0.10060508083140877,0.09435796766743648,0.08628935185185185,0.07618706697459583,0.0698729792147806,0.06414780600461893,0.061914549653579676,0.06837962962962962,0.07679214780600462,0.08262586605080832,0.08631639722863742,0.08440184757505774,0.08034180138568128,0.07246420323325635,0.07131018518518518,0.07390046296296296,0.08324942263279445,0.09310161662817552,0.09258660508083141,0.09715704387990763,0.1006189376443418,0.1008822170900693,0.10028868360277135,0.10861893764434181,0.10954272517321016,0.10900230414746544,0.1140668202764977,0.11277136258660507,0.12706697459584296,0.13571824480369515,0.13713625866050808,0.14238940092165897,0.15867511520737326,0.14997926267281106,0.14743778801843319,0.15636866359447005,0.15595852534562213,0.15038709677419354,0.1507442396313364,0.15941935483870967,0.17100921658986176,0.16365437788018433,0.15913824884792627,0.15407603686635946,0.14126497695852533,0.11224893013415395,0.1,0.06809778656279253,0.009,1.01,0.047,8.997858587987446,0.11290855605984199,0.11198464439655173,Adversity,Std,1
MAC000136,0.3085205479452055,0.28379176201372996,0.24365903890160182,0.21067734553775744,0.17597711670480548,0.15346910755148743,0.1390983981693364,0.13163386727688786,0.12703432494279177,0.12640961098398168,0.12903432494279177,0.14051487414187644,0.14730434782608695,0.18558810068649886,0.2689199086956522,0.24490160183066362,0.29847139588100685,0.3509061784897025,0.342045766590389,0.3495560643020595,0.39096338672768877,0.4408466823798627,0.4511075512585812,0.44578489656750575,0.45618535491990847,0.4998718537757437,0.5168283757437071,0.5196842105263157,0.4891712324200913,0.4990961091533181,0.4899246575342466,0.49393135011441647,0.46719406392694063,0.48810274018264843,0.48531963470319633,0.5194383561643836,0.45883333287671235,0.462162100456621,0.41654566141552507,0.40063698675799087,0.40617351575342464,0.41783333310502285,0.430107306392694,0.4179132420091324,0.423986301369863,0.4076780821917808,0.4001803652968036,0.3500296803652968,0.3543019766563467,0.293,0.24664215508457368,0.039,1.9349999,0.131,5.461442575796981,0.42257605816798943,0.3266762561115943,Adversity,Std,0
MAC000154,0.17605719921104535,0.1576019801980198,0.1401521739130435,0.12499209486166009,0.11132411067193676,0.10284782608695651,0.09785770750988142,0.09417391304347826,0.09275098814229249,0.0888695652173913,0.08876482213438736,0.08964031620553359,0.08660671936758893,0.09129051383399209,0.10831620553359683,0.12391699604743082,0.13611857707509883,0.16347524752475248,0.1563009900990099,0.14722970297029703,0.15242376237623764,0.15425742574257426,0.17182772277227723,0.19446930693069306,0.20144554455445546,0.2029940713438735,0.2095928853754941,0.20149999980237154,0.179798418972332,0.16256410256410256,0.1512721893491124,0.15849901360946747,0.1730691699604743,0.20201577928994083,0.20617751459566075,0.2219250493096647,0.24799605522682444,0.31711045384615383,0.35899408224852075,0.37684189782608696,0.35014990157790926,0.2911479289940828,0.25086587771203156,0.23189151873767258,0.21527613412228797,0.20770414201183432,0.19476528599605522,0.18882445759368835,0.17824422768654566,0.148,0.15885836261501304,0.0,1.877,0.062,10.530495289310739,0.1828870740495635,0.1763266065833091,Adversity,Std,1
MAC000155,0.24446497596618358,0.21673760580411122,0.19617170495767836,0.18076299879081018,0.1691837968561064,0.16218016928657797,0.1605441354292624,0.1535513905683192,0.15136517533252722,0.15443893591293834,0.21167956469165658,0.21430713422007255,0.2777857142857143,0.30535912950423216,0.27988149963724307,0.2991293834340991,0.31736154788391774,0.2751088272067715,0.26610411610169493,0.2543180170495768,0.2492990313559322,0.2480701330108827,0.24027966101694917,0.24385593220338986,0.24624939467312348,0.25702303018181816,0.2535925030229746,0.2548609430471584,0.26616425120772946,0.2636239420798065,0.2637436515114873,0.25330555555555556,0.2639661835748792,0.2683083432889964,0.3035386473429952,0.34632004818840584,0.3851352655797101,0.44571859927536234,0.4657379222222222,0.4891038642512077,0.5058502422705314,0.5372367149758454,0.519184781763285,0.5042128180169286,0.42859975804111244,0.36854468586956524,0.3296594202898551,0.2777898553140097,0.2910705974158775,0.213,0.21990724373101764,0.007,2.0710001,0.113,7.115112685328999,0.3139248984184485,0.2819581835940252,Affluent,Std,0
MAC000162,0.11053325272067714,0.10098547215496369,0.08793946731234867,0.0816501210653753,0.0775641646489104,0.07029297820823244,0.06481840193704601,0.06137409200968523,0.056765133171912834,0.05141041162227603,0.04996125907990315,0.04902421307506053,0.045543583535108956,0.05315738498789346,0.07050484261501211,0.08923123486682809,0.10330145278450363,0.11829176755447943,0.10024818401937047,0.09547820823244552,0.09280266343825666,0.09339225181598063,0.08860943168077388,0.08948004836759371,0.09430471584038694,0.09619105199516324,0.09550302297460701,0.09710761789600968,0.09758645707376057,0.09296735199516323,0.08657799274486094,0.0888621523579202,0.09550605326876514,0.11548367593712212,0.12193470374848851,0.1308657799274486,0.13602660217654172,0.13971946795646917,0.14804957678355501,0.15474848851269649,0.16170979443772673,0.16322007255139057,0.1624993954050786,0.15537968561064086,0.14731801692865779,0.13932285368802902,0.13335187424425635,0.12124546553808947,0.10163497504915057,0.069,0.09086815975164551,0.0,1.318,0.02,12.967976814700023,0.09592496468926553,0.10391688421999577,Adversity,Std,1
MAC000166,0.24853688029020554,0.2284140435835351,0.2107457627118644,0.1942784504842615,0.17876392251815978,0.16311985472154963,0.13941283292978207,0.12287046004842615,0.10897336561743341,0.10469612590799031,0.10203268765133172,0.1022772397094431,0.10041162227602905,0.10238861985472154,0.12235351089588378,0.15378450363196125,0.16707878787878788,0.1653680387409201,0.14847699757869248,0.1548958837772397,0.1652167069007264,0.1758765131961259,0.17543099273607748,0.18602542372881356,0.18782566585956417,0.18989830508474576,0.1804244256348247,0.18211608222490933,0.19251874256348245,0.20205205811138016,0.206984261622276,0.21331559842805323,0.2220507859733978,0.22162394195888752,0.23535187412333736,0.2475084745762712,0.25270979455864573,0.2676444979443773,0.287274818401937,0.28470616674727933,0.2893365617433414,0.29694800483675937,0.29775937097944377,0.3112817413542926,0.30478718258766624,0.29765900870616685,0.27603506626360336,0.25949093107617893,0.20062299255262825,0.174,0.15117447004653362,0.006,2.0450001,0.058,10.193248909212375,0.20146843266225165,0.20028514466125616,Adversity,Std,1
MAC000174,0.5400665859564165,0.45423515151515154,0.42068000024242425,0.3627587881212121,0.3435606790048544,0.30072121175757577,0.26785212096969696,0.23961212133333334,0.23345388349514565,0.22780848472727275,0.23304363624242425,0.2418121210909091,0.27185090896969694,0.290207272969697,0.3332884850909091,0.36982181842424244,0.3619006061818182,0.33988121236363633,0.32731151515151513,0.335186892961165,0.3317321216969697,0.34257212109090907,0.3218836357575757,0.3285774818401937,0.3710484259079903,0.45277360714285714,0.4942336562953995,0.5367421301452784,0.5445169492736077,0.516870303030303,0.46511636363636366,0.4384733651331719,0.46705448002421307,0.47769491489104116,0.485924939346247,0.5328836367272727,0.5369576278450363,0.510790556779661,0.5168727267878788,0.5339806300242131,0.5569466665454545,0.5198619855932203,0.5849212126060606,0.6110327273939394,0.6470399514527845,0.732263922276029,0.7289552052058111,0.683184019007264,0.432679573871668,0.317,0.3643513967729239,0.002,3.881,0.152,8.969686193578202,0.45150772477266704,0.4251407260772739,Adversity,Std,0
MAC000178,0.18013575757575756,0.1626601941747573,0.14720631067961165,0.13684344660194175,0.1290497572815534,0.11977791262135923,0.11801456310679612,0.11483131067961165,0.1146080098300971,0.11819174781553399,0.12190655327669903,0.23406674757281554,0.22911286383495147,0.28844902912621356,0.27239320388349514,0.21272330121359223,0.20690765479951398,0.2196941743932039,0.2042245145631068,0.22467393975757577,0.22461575769696968,0.22151151503030303,0.23038956298543692,0.2386218184242424,0.21892363660606062,0.22021090921212122,0.23788969672727273,0.2238484852121212,0.22646909078787877,0.21564121236363637,0.21307272751515152,0.20824484836363635,0.2224162621359223,0.21820727272727272,0.2356436361212121,0.26874787866666666,0.32456363612121214,0.3647527271515152,0.3954060604848485,0.40758787890909093,0.3966933330909091,0.3983260608484849,0.4080072727272727,0.39855151515151516,0.36250424254545455,0.3129030303030303,0.254810908969697,0.2078157575757576,0.2377766997700801,0.151,0.23907195282351412,0.051,5.0539999,0.083,21.255236130735273,0.25527316943756634,0.23077835945668707,Adversity,Std,0
